type_1,number_of_pokemon,avg_total_points,avg_hp,avg_attack,avg_defense,avg_sp_attack,avg_sp_defense,avg_speed
Dragon,40,535.28,82.38,107.20,84.78,91.53,84.95,84.45
Psychic,76,485.32,71.97,74.93,70.99,99.11,87.72,80.59
Steel,36,481.47,69.53,94.08,117.39,70.14,76.69,53.64
Fire,65,455.02,69.43,85.40,68.11,86.42,71.29,74.37
Electric,61,449.33,61.95,74.57,66.51,89.38,72.02,84.90
Rock,60,448.68,67.10,91.78,97.97,61.37,72.80,57.67
Ghost,41,440.76,63.95,74.20,80.44,81.98,78.78,61.41
Flying,8,440.00,69.63,75.13,64.38,73.88,70.00,87.00
Fairy,22,439.27,72.95,68.09,70.55,78.95,89.18,59.55
Fighting,38,439.05,71.39,101.26,72.21,56.42,68.55,69.21
Poison,39,432.72,73.95,75.54,76.18,67.44,71.85,67.77
Water,134,431.74,70.89,74.99,73.12,75.01,71.40,66.34
Ground,41,431.15,70.85,94.12,85.46,54.59,64.32,61.80
Dark,44,427.48,68.82,81.00,64.98,70.45,66.48,75.75
Ice,36,426.72,71.50,76.64,71.08,68.67,71.69,67.14
Grass,91,418.24,66.74,74.81,71.82,75.04,70.05,59.77
Normal,115,404.87,77.05,75.26,61.17,57.22,64.49,69.68
Bug,81,384.62,57.02,71.07,71.80,56.38,65.07,63.26
