type_x,type_y,number_of_pokemon
Flying,Normal,27
Grass,Poison,15
Bug,Flying,14
Bug,Poison,13
Ghost,Grass,12
Rock,Water,11
Ground,Water,10
Ground,Rock,9
Fairy,Psychic,9
Dragon,Ground,9
Psychic,Steel,9
Flying,Water,8
Dragon,Flying,8
Fire,Flying,7
Ice,Water,7
Dark,Water,7
Flying,Psychic,7
Flying,Grass,7
Bug,Steel,7
Fighting,Fire,7
Rock,Steel,7
Bug,Grass,6
Ground,Steel,6
Poison,Water,6
Psychic,Water,6
Flying,Rock,6
Electric,Flying,6
Fighting,Psychic,6
Ghost,Ground,6
Dark,Normal,5
Fairy,Normal,5
Dark,Poison,5
Dragon,Grass,5
Fire,Ghost,5
Dark,Flying,5
Normal,Psychic,5
Bug,Rock,5
Bug,Water,5
Fairy,Steel,5
Dragon,Psychic,5
Dragon,Ghost,5
Fairy,Grass,5
Electric,Steel,4
Ghost,Poison,4
Ice,Psychic,4
Fairy,Water,4
Flying,Ground,4
Bug,Fighting,4
Dark,Fire,4
Fire,Ground,4
Fighting,Normal,4
Fighting,Steel,4
Bug,Electric,4
Dark,Dragon,4
Bug,Fire,4
Ghost,Steel,4
Dragon,Poison,4
Dragon,Fire,3
Flying,Poison,3
Fighting,Water,3
Electric,Rock,3
Grass,Psychic,3
Electric,Water,3
Dragon,Electric,3
Fire,Rock,3
Ground,Ice,3
Flying,Steel,3
Dragon,Water,3
Grass,Water,3
Dark,Grass,3
Fighting,Grass,3
Dark,Ghost,3
Flying,Ghost,3
Grass,Ice,3
Fire,Psychic,3
Dark,Ground,3
Dark,Fighting,3
Grass,Steel,3
Dragon,Ice,3
Dark,Psychic,3
Fairy,Rock,3
Ghost,Psychic,3
Electric,Poison,3
Dark,Fairy,3
Ice,Steel,2
Ground,Poison,2
Flying,Ice,2
Fairy,Flying,2
Dark,Ice,2
Dark,Rock,2
Bug,Ground,2
Psychic,Rock,2
Ground,Psychic,2
Grass,Rock,2
Fighting,Poison,2
Electric,Ice,2
Dragon,Steel,2
Grass,Normal,2
Ghost,Water,2
Dark,Steel,2
Fire,Normal,2
Electric,Normal,2
Dragon,Rock,2
Ice,Rock,2
Electric,Fairy,2
Bug,Fairy,2
Fire,Poison,2
Dragon,Fighting,2
Bug,Psychic,2
Bug,Ice,2
Dark,Electric,2
Electric,Psychic,1
Fairy,Ice,1
Fairy,Poison,1
Bug,Ghost,1
Dragon,Fairy,1
Grass,Ground,1
Steel,Water,1
Normal,Water,1
Ghost,Ice,1
Electric,Ghost,1
Electric,Fire,1
Electric,Grass,1
Fire,Steel,1
Fire,Ice,1
Electric,Ground,1
Fighting,Rock,1
Ground,Normal,1
Fighting,Flying,1
Fire,Water,1
Fighting,Ice,1
Fairy,Ghost,1
Dragon,Normal,1
Poison,Rock,1
Fighting,Ghost,1
