stat_range,num_of_pokemon,avg_catch_rate
180,2,147.50
190,2,202.50
200,8,226.25
210,10,152.50
220,7,202.86
230,1,90.00
240,7,185.71
250,16,219.69
260,8,236.25
270,11,224.55
280,17,213.53
290,23,195.22
300,39,167.97
310,39,133.59
320,26,148.85
330,30,163.67
340,22,164.55
350,15,145.00
360,17,87.94
370,10,124.50
380,9,91.67
390,13,95.38
400,14,82.50
410,45,76.36
420,27,70.70
430,16,103.75
440,16,78.44
450,18,93.33
460,31,76.94
470,28,73.93
480,43,63.02
490,53,58.17
500,52,56.92
510,24,57.08
520,27,43.52
530,41,45.20
540,20,43.25
550,4,86.25
560,4,82.50
570,16,29.06
580,25,11.52
590,4,56.25
600,44,24.61
610,2,35.00
620,4,48.75
630,8,45.00
640,3,45.00
660,1,3.00
670,4,13.50
680,17,15.35
700,9,17.00
710,1,3.00
720,1,3.00
750,1,3.00
770,2,5.00
780,3,3.00
1130,1,255.00
